creator,title,views,likes,comments,duration_secs,link,tags.primary_topic,tags.topic_category,tags.content_format,tags.sub_topics,tags.language
@Rajiv.Talreja,Humare culture me...,9264,242,2,17.0,https://youtube.com/watch?v=pR6DJ1QZDhY,respectful disagreement,business strategy,talking head,"['family business', 'communication skills', 'cultural values', 'respect in business']",hinglish
@Rajiv.Talreja,Boring makes money.. Entertaining keeps you in struggle..,14622,404,3,20.0,https://youtube.com/watch?v=9PZRaW8965k,business discipline,business strategy,talking head,"['SOPs and systems', 'data tracking', 'avoiding entertainment', 'struggle mindset']",hinglish
@ankitravindrajain,Stop Doing THIS in Sales Meetings 🤯(97% of Salespeople Doing It) #shorts #salestips #salestraining,14983,1197,58,158.0,https://youtube.com/watch?v=UNnWRDCdw70,Sales meetings,sales & negotiation,roleplay/skit,"['preparation mistakes', 'pricing strategy', 'closing techniques', 'professionalism', 'sales presentation']",hinglish
@ankitravindrajain,Master the Power of Body Language #shorts #bodylanguage #ytshorts,10615,106,0,8.0,https://youtube.com/watch?v=uuyn8vh8pvs,Body Language,personal development,motivational monologue,"['communication skills', 'non-verbal cues', 'self-improvement']",english
@ankitravindrajain,How to ANSWER It’s Too Expensive Sales Objection 🤯 #shorts #salestips #salestraining #ytshorts,10050,594,8,81.0,https://youtube.com/watch?v=gytJUs8AR2g,price objection handling,sales & negotiation,roleplay/skit,"['compare to what', 'avoid discounting', 'calculate opportunity cost', 'value comparison', 'closing technique']",hinglish
@ankitravindrajain,How to Grow your Offline Business SALES 🚀#salestips #sales #salestraining,13361,1044,80,133.0,https://youtube.com/watch?v=REbRC2A7lPA,offline business growth,sales & negotiation,talking head,"['decommoditization strategy', 'no-brainer offer', 'competitive pricing', 'value bundling', 'customer service']",hinglish
@ankitravindrajain,How to Handle Price Objections in high-ticket sales 🚀 #salestips #shorts #salestraining,40076,1738,28,100.0,https://youtube.com/watch?v=Zq3X6ihMahU,Price objection handling,sales & negotiation,roleplay/skit,"['value-based selling', 'no-brainer offer', 'free delivery', 'free installation', 'extended support', 'high-ticket sales']",hindi
@ankitravindrajain,"How to Sell a Table Tennis for ₹35,000🔥 #shorts #salestips #salestraining",2886678,76904,619,97.0,https://youtube.com/watch?v=zzt0-7CdtCQ,Table tennis sales,sales & negotiation,roleplay/skit,"['qualifying customer', 'product positioning', 'tiered pricing strategy', 'understanding needs', 'closing sales']",hinglish
@ankitravindrajain,"How to Handle ""I'll Get Back to You"" Sales Objection 🔥#salestips #salestraining #salesobjections",25167,2434,199,101.0,https://youtube.com/watch?v=nlNv3iG-m20,sales objection handling,sales & negotiation,roleplay/skit,"[""I'll get back objection"", 'uncovering real objections', 'price objections', 'product objections', 'sales conversion techniques']",hinglish
@ankitravindrajain,How to Overcome Sales Objections 🔥#shorts #salestips #salestraining,17825,1193,72,125.0,https://youtube.com/watch?v=uRKM95BUIjI,Sales objections,sales & negotiation,roleplay/skit,"['price negotiation', 'closing techniques', 'objection handling', 'decision-making concerns', 'sales masterclass promotion']",hinglish
