creator,title,views,likes,comments,duration_secs,link,tags.primary_topic,tags.sub_topics,tags.content_format,tags.language
@Rajiv.Talreja,Humare culture me...,9264,242,2,17.0,https://youtube.com/watch?v=pR6DJ1QZDhY,Family Business,"['Communication Skills', 'Respectful Disagreement', 'Cultural Values', 'Business Relationships']",Advice/Commentary,hinglish
@Rajiv.Talreja,Boring makes money.. Entertaining keeps you in struggle..,14622,404,3,20.0,https://youtube.com/watch?v=9PZRaW8965k,Business Strategy,"['Boring vs Entertaining', 'SOPs and Systems', 'Data Tracking', 'Success Mindset']",Motivational advice,hinglish
@ankitravindrajain,Stop Doing THIS in Sales Meetings 🤯(97% of Salespeople Doing It) #shorts #salestips #salestraining,14983,1197,58,158.0,https://youtube.com/watch?v=UNnWRDCdw70,Sales Training,"['Sales Meetings', 'Common Mistakes', 'Product Presentation', 'Price Negotiation', 'Closing Techniques', 'Professional Communication', 'Masterclass Promotion']",Educational Roleplay,hinglish
@ankitravindrajain,Master the Power of Body Language #shorts #bodylanguage #ytshorts,10615,106,0,8.0,https://youtube.com/watch?v=uuyn8vh8pvs,Body Language,"['Communication Skills', 'Non-verbal Cues', 'Personal Development']",Educational Tips,english
@ankitravindrajain,How to ANSWER It’s Too Expensive Sales Objection 🤯 #shorts #salestips #salestraining #ytshorts,10050,594,8,81.0,https://youtube.com/watch?v=gytJUs8AR2g,Sales Objection Handling,"['Price objections', 'Discount strategies', 'Value comparison', 'Cost of inaction', 'Sales techniques']",Educational dialogue,hinglish
@ankitravindrajain,How to Grow your Offline Business SALES 🚀#salestips #sales #salestraining,13361,1044,80,133.0,https://youtube.com/watch?v=REbRC2A7lPA,Offline Business Sales,"['Decommoditization Strategy', 'No-Brainer Offers', 'Value-Added Bundling', 'Customer Experience', 'Competitive Pricing']",Educational Training,hinglish
@ankitravindrajain,How to Handle Price Objections in high-ticket sales 🚀 #salestips #shorts #salestraining,40076,1738,28,100.0,https://youtube.com/watch?v=Zq3X6ihMahU,Sales Objection Handling,"['Price Negotiation', 'Value Addition', 'High-Ticket Sales', 'Closing Techniques', 'Customer Relationship']",Roleplay Demonstration,hindi
@ankitravindrajain,"How to Sell a Table Tennis for ₹35,000🔥 #shorts #salestips #salestraining",2886678,76904,619,97.0,https://youtube.com/watch?v=zzt0-7CdtCQ,Sales Technique,"['Table Tennis Selling', 'Value Positioning', 'Customer Qualification', 'Product Demonstration', 'Need Analysis']",Role-play Demonstration,hinglish
@ankitravindrajain,"How to Handle ""I'll Get Back to You"" Sales Objection 🔥#salestips #salestraining #salesobjections",25167,2434,199,101.0,https://youtube.com/watch?v=nlNv3iG-m20,Sales Objection Handling,"[""I'll get back"", 'Lead conversion techniques', 'Real objection discovery', 'Price objections', 'Product objections', 'Sales masterclass promotion']",Dialogue roleplay,hinglish
@ankitravindrajain,How to Overcome Sales Objections 🔥#shorts #salestips #salestraining,17825,1193,72,125.0,https://youtube.com/watch?v=uRKM95BUIjI,Sales Objections,"['Price Negotiation', 'Closing Techniques', 'Think it Over', 'Decision Making', 'Right Timing', 'Spousal Consultation', 'Sales Training Promotion']",Role-play Demonstration,hinglish
@ankitravindrajain,"How to Sell a ₹200 Bottle for ₹5,000 🚀 #shorts #salestips #salestraining",196543,4133,61,112.0,https://youtube.com/watch?v=z19NMfmm2dk,Sales Training,"['Value-based Selling', 'Brand Image', 'Persuasion Techniques', 'Price Justification', 'Customer Psychology']",Role-play Demonstration,hinglish
@ankitravindrajain,How to Answer ANY Sales Objection in 10 Seconds 🔥#salestips #salestraining,119864,3862,21,89.0,https://youtube.com/watch?v=71unyUdIlGA,Sales Objections,"['Objection Handling', 'Sales Techniques', 'Quick Responses', 'Customer Conversations', 'Sales Training']",Challenge Format,hinglish
@ankitravindrajain,Sales Meeting Body Language: Why 90% of Salespeople Fail in the First 30 Seconds #salestips #sales,11022,572,97,79.0,https://youtube.com/watch?v=0BXfQaLw_D0,Sales Body Language,"['First Impression', 'Client Meeting', 'Price Negotiation', 'Sales Masterclass Promotion']",Role-play demonstration,hinglish
@SanjayNuthraYT,Alex Hormozi didn’t start content to make money he started it for long-term leverage. #shorts,16555,385,1,31.0,https://youtube.com/watch?v=aSCVwZ3mnds,Alex Hormozi,"['content creation strategy', 'long-term leverage', 'billionaire mindset', 'wealth building']",motivational commentary,hindi
@MrVivekBindra,Can small investments really create big profits?,11149,314,3,60.0,https://youtube.com/watch?v=uKKT454gAMk,Investment Strategy,"['SIP savings', 'Wealth building', 'Corpus creation', 'Market returns', 'SWP strategy', 'Financial planning']",Financial advice,hindi
@MrVivekBindra,हनुमान जी ने कैसे उठाया पूरा पर्वत? #shorts #drvivekbindra,23160,669,14,35.0,https://youtube.com/watch?v=8H_l_-ErWN0,Hanuman mythology,"['Ravana conversation', 'Mountain lifting', 'Sanjeevani mountain', 'Hindu epic']",Storytelling dialogue,hindi
@MrVivekBindra,जब आरती खेतरपाल जी ने गाया कृष्ण भजन… पूरा माहौल हो गया दिव्य #shorts #drvivekbindra,21334,351,17,52.0,https://youtube.com/watch?v=K7mI1fDA5YE,Krishna Bhajan,"['Aarti Khetrapal', 'Devotional singing', 'Divine atmosphere', 'Dr Vivek Bindra']",Devotional performance,hindi
@MrVivekBindra,"Radhe-Radhe or Radhe-Krishna, which is the right way to chant?",18475,505,8,71.0,https://youtube.com/watch?v=6qOBwPf0zBs,Spiritual chanting,"['Radhe-Radhe chanting', 'Radhe-Krishna debate', 'Hare Krishna mantra', 'Guru instructions', 'Divine names']",Religious discussion,hinglish
@MrVivekBindra,"When divine energies come together, a celebration becomes truly meaningful. #shorts #drvivekbindra",12567,438,16,53.0,https://youtube.com/watch?v=xGDnD8SDrzo,Spiritual celebration,"['Divine energies', 'Meaningful celebrations', 'Spirituality']",Motivational/Inspirational,english
@MrVivekBindra,Ye Decision Aapki Zindagi Bacha Sakta Hai,22271,789,6,58.0,https://youtube.com/watch?v=j1OkjKQ9qPI,Decision Making,"['Direction vs Time', 'Survival Strategy', 'Life Lessons', 'Focus Management']",Story-based puzzle,hinglish
@MrVivekBindra,"When music turns into devotion, magic like this is created... #shorts #drvivekbindra",17714,450,5,61.0,https://youtube.com/watch?v=9gZkcSKO2Kk,Devotional music,"['Religious chanting', 'Spiritual performance', 'Hari bol']",Live devotional performance,hindi
@MrVivekBindra,Aaj Samajh Aaya Log Manish Bhai Ko Itna Kyun Chahte Hain! JJ Communications #shorts #drvivekbindra,23115,350,8,35.0,https://youtube.com/watch?v=cF_1Tvg7PaE,Motivational speech,"['Punjabi poetry', 'Personal values', 'Leadership qualities', 'Cultural pride']",Poetic recitation,hindi
@MrVivekBindra,Sabse Bada Khan Kaun? Mera Answer Sunke Aap Hairaan Ho Jaoge! #shorts #drvivekbindra #khansir,25644,576,13,36.0,https://youtube.com/watch?v=AjenzkjIhKA,Khan comparison,"['celebrity ranking', 'surprising answer', 'opinion video']",Opinion commentary,hinglish
@MrVivekBindra,India’s Pride The Great Khali Joins Dr Vivek Bindra’s Grand Celebration #khali #shorts #shortvideo,28282,542,7,39.0,https://youtube.com/watch?v=PIMoYJTRPl8,Celebrity Appearance,"['The Great Khali', 'Dr Vivek Bindra', 'Event Celebration', 'Traditional Music']",Promotional Event,hindi
@MrVivekBindra,Not Just Friendship.. It’s Brotherhood ❤️ | Vivek Oberoi at Dr Vivek Bindra’s Birthday #shorts,26214,411,16,30.0,https://youtube.com/watch?v=CdyzWCmEI6Y,Friendship celebration,"['Birthday event', 'Celebrity appearance', 'Brotherhood bond']",Celebrity vlog,english
@MrVivekBindra,हनुमान जी के बचपन की ये लीला हर किसी को चौंका देगी #shorts #shortvideo #hanumanji #drvivekbindra,41845,1563,32,103.0,https://youtube.com/watch?v=ZAKM1Av0jCE,Hanuman childhood,"['Sun eating incident', ""Indra's vajra attack"", ""Vayu's anger"", 'Blessings from gods', 'Powers forgotten', ""Jambavan's reminder"", 'Lanka mission']",Storytelling narration,hinglish
@MrVivekBindra,Taj Hotel पर हमला… और Ratan Tata का ऐतिहासिक जवाब #shorts #shortvideo #drvivekbindra,33252,1490,21,85.0,https://youtube.com/watch?v=73cdhBmVGaY,Ratan Tata,"['Taj Hotel attack', '26/11 Mumbai', 'Pakistani businessmen', 'Tender rejection', 'Patriotism']",Motivational storytelling,hinglish
